Date,Open,High,Low,Close,Adj Close,Volume
2019-02-19,70.209999,70.320000,69.279999,69.879997,60.418755,13091900
2019-02-20,63.669998,65.190002,63.299999,64.220001,55.525070,43365600
2019-02-21,64.029999,64.150002,61.959999,62.349998,53.908253,26490600
2019-02-22,62.139999,62.349998,61.169998,61.950001,53.562405,20182900
2019-02-25,62.119999,62.290001,61.200001,61.230000,52.939896,12853900
2019-02-26,61.250000,61.580002,60.590000,60.680000,52.464367,12273600
2019-02-27,60.430000,60.490002,58.459999,58.500000,50.579514,20986500
2019-02-28,58.540001,58.790001,57.560001,57.830002,50.000240,17121000
2019-03-01,58.150002,58.740002,58.060001,58.130001,50.259621,14432800
2019-03-04,58.369999,58.549999,55.799999,55.959999,48.383419,17836000
2019-03-05,56.150002,56.200001,54.369999,54.959999,47.518803,27776100
2019-03-06,54.740002,55.009998,54.000000,54.000000,46.688782,15876800
2019-03-07,54.139999,54.340000,52.169998,52.360001,45.270832,23030200
2019-03-08,52.060001,53.099998,51.930000,52.930000,45.763660,21748300
2019-03-11,53.099998,53.889999,52.310001,53.750000,46.472637,14770200
2019-03-12,54.020000,54.930000,53.720001,54.650002,47.250782,16681400
2019-03-13,55.610001,56.919998,55.310001,56.570000,48.910824,22936500
2019-03-14,56.950001,57.410000,55.669998,55.880001,48.314251,15216100
2019-03-15,55.919998,56.189999,55.270000,55.599998,48.072151,24262200
2019-03-18,55.610001,56.919998,55.560001,56.669998,48.997284,12752900
2019-03-19,56.700001,57.540001,56.480000,57.090000,49.360420,12367400
2019-03-20,56.820000,56.900002,55.810001,56.160000,48.556335,11405800
2019-03-21,56.070000,57.610001,55.779999,57.400002,49.628448,10452700
2019-03-22,57.110001,57.279999,55.919998,56.040001,48.452579,10204200
2019-03-25,55.799999,56.130001,54.400002,54.950001,47.510162,12968600
2019-03-26,55.380001,56.169998,55.080002,55.389999,47.890587,11730900
2019-03-27,53.939999,54.430000,52.830002,54.049999,46.732014,21327300
2019-03-28,54.180000,54.599998,53.250000,53.360001,46.135429,11564900
2019-03-29,53.549999,53.970001,53.290001,53.930000,46.628258,11361500
2019-04-01,54.160000,54.340000,53.450001,54.189999,46.853062,10790100
2019-04-02,52.680000,52.919998,51.770000,52.130001,45.071972,22104400
2019-04-03,52.419998,53.070000,52.320000,52.790001,45.642609,17437400
2019-04-04,52.880001,53.459999,52.799999,53.400002,46.170017,11058000
2019-04-05,53.610001,54.200001,53.509998,54.060001,46.740662,10002100
2019-04-08,53.959999,54.490002,53.740002,54.150002,46.818470,8374100
2019-04-09,54.099998,54.330002,53.450001,53.720001,46.446701,9275800
2019-04-10,53.700001,53.889999,53.040001,53.869999,46.576378,11853400
2019-04-11,53.980000,54.369999,52.470001,52.689999,45.556156,11354700
2019-04-12,52.950001,53.290001,52.580002,52.810001,45.659904,10024700
2019-04-15,53.720001,54.599998,53.500000,54.220001,46.879005,17590400
2019-04-16,54.730000,54.830002,53.340000,53.900002,46.602322,12943200
