Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,58.150002,58.740002,51.930000,53.930000,46.628262,340702800
2019-04-01,54.160000,54.889999,51.770000,54.380001,47.017334,264898900
2019-05-01,56.849998,57.750000,51.720001,52.369999,45.713772,229170300
2019-06-01,52.540001,55.750000,52.459999,54.490002,47.564312,172384800
2019-07-01,55.099998,60.130001,54.119999,55.869999,48.768921,155570300
2019-08-01,55.799999,62.580002,53.000000,60.919998,53.653816,207792700
2019-09-01,60.439999,65.250000,59.689999,63.070000,55.547375,133868500
2019-10-01,63.200001,67.330002,60.139999,66.389999,58.471394,141771800
2019-11-01,66.860001,77.029999,66.709999,75.269997,66.793976,165836100
2019-12-01,75.220001,75.910004,72.639999,74.290001,65.924339,113459600
2020-01-01,74.650002,76.440002,67.400002,67.820000,60.182922,140469500
2020-02-01,68.400002,75.250000,57.099998,59.180000,52.870258,189298300
2020-03-01,60.669998,66.980003,52.040001,59.330002,53.004269,333417100
2020-04-01,57.750000,65.000000,54.070000,61.549999,54.987572,189376600
2020-05-01,60.790001,67.730003,58.939999,65.570000,59.069157,161902700
2020-06-01,65.440002,70.639999,61.820000,64.970001,58.528652,174230300
2020-07-01,64.970001,65.800003,60.549999,62.939999,56.699909,142093700
2020-08-01,63.450001,67.300003,61.889999,62.119999,56.398262,141044800
2020-09-01,62.009998,62.040001,56.099998,58.400002,53.020912,200294400
2020-10-01,58.430000,60.799999,55.360001,56.090000,50.923683,149493800
2020-11-01,56.869999,74.059998,56.189999,67.790001,62.068207,227416000
2020-12-01,68.389999,74.639999,67.059998,68.300003,62.535175,155516000
2021-01-01,68.680000,77.230003,68.129997,71.650002,65.602425,130365500
2021-02-01,72.080002,75.389999,68.019997,68.129997,62.796787,142269500
2021-03-01,68.419998,76.870003,68.260002,75.230003,69.340981,162147200
2021-04-01,75.230003,77.440002,73.300003,76.400002,70.419395,115037800
2021-05-01,77.000000,90.610001,76.699997,86.440002,80.196259,196204200
2021-06-01,86.500000,87.300003,82.330002,83.440002,77.412949,105172800
2021-07-01,83.709999,84.279999,79.559998,82.360001,76.410973,109865300
2021-08-01,82.360001,86.879997,79.330002,86.389999,80.635284,129451300
2021-09-01,86.099998,87.790001,83.360001,84.860001,79.207199,106628200
2021-10-01,84.800003,89.529999,81.779999,89.279999,83.332756,103150400
2021-11-01,89.769997,96.570000,88.910004,89.059998,83.610420,130049800
2021-12-01,90.180000,104.559998,88.769997,103.160004,96.847656,123605500
2022-01-01,102.809998,109.339996,99.690002,106.510002,99.992668,160906200
2022-02-01,106.269997,111.250000,98.459999,103.650002,97.827789,128186400
2022-03-01,103.209999,109.690002,100.959999,101.209999,95.524826,126157800
2022-04-01,101.209999,107.730003,95.889999,96.129997,90.730186,109615100
2022-05-01,96.449997,101.209999,91.470001,96.750000,91.788765,124812900
2022-06-01,97.379997,97.769997,88.419998,92.660004,87.908508,102042500
2022-07-01,92.809998,97.129997,90.580002,95.680000,90.773643,90958400
2022-08-01,95.000000,107.260002,94.830002,98.150002,93.658363,109603600
2022-09-01,98.000000,103.589996,95.269997,95.370003,91.005577,100898700
2022-10-01,95.980003,101.080002,86.279999,94.699997,90.366241,140701300
2022-11-01,94.610001,102.769997,93.519997,101.879997,97.804527,135801600
2022-12-01,102.190002,104.830002,92.129997,93.190002,89.462151,108698600
2023-01-01,91.720001,93.410004,84.820000,88.220001,84.690964,211005300
2023-02-01,88.010002,90.620003,83.139999,83.540001,80.752083,169293500
2023-03-01,82.900002,83.260002,72.110001,74.309998,71.830109,193860500
2023-04-01,75.029999,78.480003,71.940002,73.309998,70.863487,161022800
2023-05-01,73.589996,74.070000,66.339996,68.029999,66.300201,190999300
2023-06-01,68.339996,72.830002,66.639999,69.129997,67.372231,192867400
2023-07-01,69.120003,76.220001,68.699997,74.690002,72.790871,179440300
2023-08-01,74.760002,77.379997,64.620003,65.169998,64.033768,227212600
2023-09-01,65.400002,72.599998,65.050003,69.820000,68.602699,169599500
2023-10-01,69.540001,73.339996,66.010002,69.010002,67.806824,141003000
2023-11-01,65.750000,71.339996,64.410004,67.949997,67.338371,148673600
2023-12-01,67.910004,79.389999,67.360001,78.959999,78.249275,174533000
2024-01-01,78.900002,83.250000,70.190002,74.370003,73.700592,299289900
2024-02-01,74.430000,78.300003,71.589996,76.599998,76.599998,136016200
2024-02-16,76.720001,77.445000,76.360001,77.065002,77.065002,4260578
